"OPTIONSET","UDC_PRODUCT_GROUP","LOC","ENDDATE","PROJECTED_OH","SIMULATION_NAME"
"SNOP_BATCH_STORE_SKU_PROJ","HRGI","1593","21-MAY-25","5","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","GBAL","RJ01","07-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","LRPC","RJ02","28-FEB-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGI","D1013","07-APR-25","511.59","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRCTL","AP02","21-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRCTL_NCOPI","AP02","07-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGI","D1036","14-APR-25","516.5","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGL","D1493","28-FEB-25","9.74","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","TFS","PB01","07-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","TMT","CG01","30-JUN-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","TMT","MH02","21-MAR-25","201.2","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","ZM","CG01","14-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","AS CAST BLOOMS","UP01","07-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HTWRC","KA02","31-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","TIN","D1014","31-MAY-25","18.54","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","CRCA","1441","07-MAR-25","42.98","MONTHLY_MAX_PROFIT"
