SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_DEMSAT,WR - L,OE_DOMESTIC,0,0,14992,14992,14992,14992,01-Mar-25,36,STR
MONTHLY_MAX_DEMSAT,PRB_BRM,RE_DOMESTIC,0,0,59,59,59,59,01-Mar-25,36,STP
MONTHLY_MAX_DEMSAT,LPF,MS_DOMESTIC,0,0,390,390,390,390,01-Apr-25,49,STR
MONTHLY_MAX_DEMSAT,LRPC,OE_DOMESTIC,0,0,346,295,346,295,01-Apr-25,2000,PRY
MONTHLY_MAX_DEMSAT,TMBP,MS_DOMESTIC,0,0,31,26,31,26,01-Apr-25,49,EMG
MONTHLY_MAX_DEMSAT,WR - L,RE_DOMESTIC,0,0,11974,11905,11974,11905,01-Apr-25,49,PRY
MONTHLY_MAX_DEMSAT,WR - L,SA_DOMESTIC,0,0,85,73,85,73,01-Apr-25,2000,STP
MONTHLY_MAX_DEMSAT,PRB_BRM,MS_DOMESTIC,0,0,682,682,682,682,01-Apr-25,49,STR
MONTHLY_MAX_DEMSAT,AS CAST ROUNDS,SA_DOMESTIC,0,0,192,192,192,192,01-Apr-25,2000,STR
MONTHLY_MAX_DEMSAT,RCS,OE_DOMESTIC,0,0,223,197.07,223,197.07,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,TIN,OE_DOMESTIC,0,0,4464,4464,4464,4464,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,TMT,RE_DOMESTIC,0,0,33122,33122,33122,33122,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,HRGI,MS_DOMESTIC,0,0,133,124,133,124,01-May-25,58,PRY
MONTHLY_MAX_DEMSAT,HRPO,SA_DOMESTIC,0,0,1445,1432,1445,1432,01-May-25,2000,PRY
MONTHLY_MAX_DEMSAT,HRCTL,OE_DOMESTIC,0,0,11031,10911,11031,10911,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,WR - AL,OE_DOMESTIC,0,0,473,473,473,473,01-May-25,58,STR
MONTHLY_MAX_DEMSAT,GI,OTHERS,20,0,0,0,20,0,01-Feb-25,-1,OTHERS
MONTHLY_MAX_DEMSAT,GL,OE_DOMESTIC,0,0,766,763,766,763,01-Feb-25,9,PRY
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,0,0,28009,27937,28009,27937,01-Feb-25,11,STR
MONTHLY_MAX_DEMSAT,TIN,MS_DOMESTIC,288,0,0,0,288,0,01-Feb-25,-1,FOC
MONTHLY_MAX_DEMSAT,CRCA,RE_DOMESTIC,0,0,9441,9441,9441,9441,01-Feb-25,10,STR
MONTHLY_MAX_DEMSAT,LRPC,OE_DOMESTIC,0,0,2246,2211,2246,2211,01-Feb-25,2000,STP
MONTHLY_MAX_DEMSAT,NOSP,OE_DOMESTIC,0,0,1268,1268,1268,1268,01-Feb-25,8,PRY
MONTHLY_MAX_DEMSAT,PPGL,OE_DOMESTIC,220.33,188.329999,0,0,220.33,188.329999,01-Feb-25,2,PRY
MONTHLY_MAX_DEMSAT,HRCTL,OE_DOMESTIC,0,0,912,895,912,895,01-Feb-25,11,EMG
MONTHLY_MAX_DEMSAT,HRCTL,SA_DOMESTIC,0,0,426,402,426,402,01-Feb-25,2000,STR
MONTHLY_MAX_DEMSAT,HTWRC,SA_DOMESTIC,1666.57,1666.57,0,0,1666.57,1666.57,01-Feb-25,2500,STR
MONTHLY_MAX_DEMSAT,PRB_BLM,MS_DOMESTIC,448.94,448.94,0,0,448.94,448.94,01-Feb-25,4,STP
MONTHLY_MAX_DEMSAT,PRB_BLM,OE_DOMESTIC,75,0,0,0,75,0,01-Feb-25,-1,STP
MONTHLY_MAX_DEMSAT,AS CAST ROUNDS,OE_DOMESTIC,146.09,146.089998,0,0,146.09,146.089998,01-Feb-25,2500,EMG
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,81.5,81.5,0,0,81.5,81.5,01-Mar-25,22,EMG
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,2427,0,0,0,2427,0,01-Mar-25,-1,STR
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,0,0,64174,63926,64174,63926,01-Mar-25,36,STR
MONTHLY_MAX_DEMSAT,TIN,OE_DOMESTIC,135,0,0,0,135,0,01-Mar-25,-1,EMG
MONTHLY_MAX_DEMSAT,TIN,MS_DOMESTIC,716.5,716.5,0,0,716.5,716.5,01-Mar-25,2500,STR
MONTHLY_MAX_DEMSAT,NOFP,MS_DOMESTIC,0,0,2721,2710,2721,2710,01-Mar-25,33,STR
MONTHLY_MAX_DEMSAT,NOSP,OE_DOMESTIC,0,0,2065,2065,2065,2065,01-Mar-25,33,STP
MONTHLY_MAX_DEMSAT,WR - AL,OE_DOMESTIC,0,0,583,520,583,520,01-Mar-25,36,EMG
MONTHLY_MAX_DEMSAT,GI,SA_DOMESTIC,0,0,731,723,731,723,01-Apr-25,2000,STR
MONTHLY_MAX_DEMSAT,GL,MS_DOMESTIC,0,0,6782,6529,6782,6529,01-Apr-25,47,STR
MONTHLY_MAX_DEMSAT,TIN,OE_DOMESTIC,0,0,4054,4054,4054,4054,01-Apr-25,2000,STP
MONTHLY_MAX_DEMSAT,TMT,DE_DOMESTIC,0,0,552,552,552,552,01-Apr-25,50,STP
MONTHLY_MAX_DEMSAT,CRCA,OE_DOMESTIC,0,0,2524,2394,2524,2394,01-Apr-25,48,EMG
MONTHLY_MAX_DEMSAT,CRCA,OE_DOMESTIC,765,765,0,0,765,765,01-Apr-25,42,STP
MONTHLY_MAX_DEMSAT,HTWRC,OE_DOMESTIC,0,0,519,519,519,519,01-Apr-25,46,STR
MONTHLY_MAX_DEMSAT,PRB_BRM,RE_DOMESTIC,0,0,197,197,197,197,01-Apr-25,49,EMG
