SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_PROFIT,PRB_BRM,DE_DOMESTIC,0,0,26,26,26,26,01-Mar-25,35,STR
MONTHLY_MAX_PROFIT,HR,OE_DOMESTIC,0,0,51531,51399,51531,51399,01-Apr-25,49,STR
MONTHLY_MAX_PROFIT,CRCA,RE_DOMESTIC,0,0,7613,7518,7613,7518,01-Apr-25,48,FOC
MONTHLY_MAX_PROFIT,NOFP,MS_DOMESTIC,0,0,3073,3060,3073,3060,01-Apr-25,46,STR
MONTHLY_MAX_PROFIT,PRB_BRM,DE_DOMESTIC,0,0,34,34,34,34,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,AS CAST BLOOMS,OE_DOMESTIC,0,0,8,8,8,8,01-Apr-25,51,EMG
MONTHLY_MAX_PROFIT,GI,MS_DOMESTIC,0,0,1188,1038,1188,1038,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,TMT,DE_DOMESTIC,0,0,327,327,327,327,01-May-25,58,FOC
MONTHLY_MAX_PROFIT,TMT,MS_DOMESTIC,0,0,34,34,34,34,01-May-25,58,STR
MONTHLY_MAX_PROFIT,TMT,OE_DOMESTIC,0,0,19674,19674,19674,19674,01-May-25,58,STR
MONTHLY_MAX_PROFIT,TMT,RE_DOMESTIC,0,0,33122,33122,33122,33122,01-May-25,58,STR
MONTHLY_MAX_PROFIT,CRCA,OE_DOMESTIC,0,0,2433,2301,2433,2301,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,GBAL,OE_DOMESTIC,0,0,39,39,39,39,01-May-25,58,FOC
MONTHLY_MAX_PROFIT,HRGI,MS_DOMESTIC,0,0,133,124,133,124,01-May-25,58,PRY
MONTHLY_MAX_PROFIT,HTLPF,OE_DOMESTIC,0,0,1292,1292,1292,1292,01-May-25,58,STP
MONTHLY_MAX_PROFIT,HTWRC,SA_DOMESTIC,0,0,588,588,588,588,01-May-25,58,STR
MONTHLY_MAX_PROFIT,AS CAST BLOOMS,SA_DOMESTIC,0,0,425,425,425,425,01-May-25,58,STP
MONTHLY_MAX_PROFIT,AS CAST BILLETS,OE_DOMESTIC,0,0,132,132,132,132,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,GA,SA_DOMESTIC,0,0,343,36.7595,343,36.7595,01-Feb-25,14,STP
